tool,mode,dataset,genome,ends,read_length,read_count,aligned,overaligned,accuracy,jaccuracy,saccuracy,time,memory
strobealign-caa3745f,map,sim0,rye,se,1000,500000,100.0,0,96.7562,94.69716,,19.5,25.0085
strobealign-caa3745f,map,sim0,rye,se,5000,100000,100.0,0,99.197,98.76595,,25.0,25.0098
strobealign-caa3745f,map,sim0,rye,se,10000,50000,100.0,0,99.676,99.45326,,29.6,25.0205
strobealign-caa3745f,map,sim4,rye,se,1000,500000,99.9232,384,96.1372,91.31195,,16.2,25.0099
strobealign-caa3745f,map,sim4,rye,se,5000,100000,99.773,227,98.783,97.64804,,19.8,25.0163
strobealign-caa3745f,map,sim4,rye,se,10000,50000,99.52,240,99.05,98.46509,,24.0,25.031
strobealign-caa3745f,map,sim6,rye,se,1000,500000,99.9278,361,85.5696,69.09779,,12.2,25.0132
strobealign-caa3745f,map,sim6,rye,se,5000,100000,99.776,224,97.781,91.19537,,14.0,25.0156
strobealign-caa3745f,map,sim6,rye,se,10000,50000,99.574,213,98.658,94.9332,,15.3,25.0279
strobealign-caa3745f-k16s12l2u2,map,sim0,rye,se,1000,500000,100.0,0,96.866,92.1287,,39.0,33.353
strobealign-caa3745f-k16s12l2u2,map,sim0,rye,se,5000,100000,100.0,0,99.358,98.36736,,66.6,33.3662
strobealign-caa3745f-k16s12l2u2,map,sim0,rye,se,10000,50000,100.0,0,99.794,99.29296,,75.4,33.3717
strobealign-caa3745f-k16s12l2u2,map,sim4,rye,se,1000,500000,99.9232,384,96.3982,89.59135,,33.7,33.3588
strobealign-caa3745f-k16s12l2u2,map,sim4,rye,se,5000,100000,99.773,227,99.105,97.5684,,54.5,33.3725
strobealign-caa3745f-k16s12l2u2,map,sim4,rye,se,10000,50000,99.52,240,99.252,98.43337,,63.2,33.379
strobealign-caa3745f-k16s12l2u2,map,sim6,rye,se,1000,500000,99.9278,361,88.7136,73.03351,,18.9,33.3624
strobealign-caa3745f-k16s12l2u2,map,sim6,rye,se,5000,100000,99.776,224,98.331,91.25542,,23.2,33.3667
strobealign-caa3745f-k16s12l2u2,map,sim6,rye,se,10000,50000,99.574,213,99.108,94.67448,,27.1,33.3825
minimap2,map,sim0,rye,se,1000,500000,99.9524,0,96.666,90.41531,,55.812,12.7519
minimap2,map,sim0,rye,se,5000,100000,100.0,0,99.38,98.07821,,76.400,12.7907
minimap2,map,sim0,rye,se,10000,50000,100.0,0,99.824,99.17554,,83.571,12.8356
minimap2,map,sim4,rye,se,1000,500000,99.8742,383,95.9862,87.54207,,48.434,12.7453
minimap2,map,sim4,rye,se,5000,100000,99.773,227,99.061,97.16927,,64.524,12.7819
minimap2,map,sim4,rye,se,10000,50000,99.52,240,99.28,98.31583,,69.094,12.8349
minimap2,map,sim6,rye,se,1000,500000,98.886,350,87.2822,70.44422,,27.268,12.7794
minimap2,map,sim6,rye,se,5000,100000,99.776,224,98.23,93.07796,,30.767,12.7452
minimap2,map,sim6,rye,se,10000,50000,99.574,213,98.912,96.2632,,32.107,12.7453
