tool,type,dataset,genome,read_length,aligned,accuracy,overaligned,time,memory
minimap2,map,sim4,maize,75,95.9958,53.1697,782,57.513,8.1058
minimap2,map,sim4,maize,100,98.4727,63.1438,1212,53.263,7.9349
minimap2,map,sim4,maize,150,99.3451,75.0754,1928,59.994,7.77278
minimap2,map,sim4,maize,200,99.4233,81.6845,2831,71.508,7.67575
minimap2,map,sim4,maize,300,99.3933,88.5704,4330,112.522,7.59594
minimap2,map,sim4,maize,500,99.2027,93.707,7052,196.857,7.52815
minimap2,map,sim5,maize,50,80.061,35.0725,538,43.362,8.15522
minimap2,map,sim5,maize,75,93.8465,51.657,1405,53.235,8.08984
minimap2,map,sim5,maize,100,96.8192,61.6223,2188,53.659,7.92266
minimap2,map,sim5,maize,150,98.6365,73.7054,3781,63.765,7.77401
minimap2,map,sim5,maize,200,98.9497,80.6163,5133,71.005,7.67617
minimap2,map,sim5,maize,300,98.8462,87.6746,8233,110.246,7.59566
minimap2,map,sim5,maize,500,98.443,92.7503,13726,188.262,7.52513
strobealign-0.14.0,align,sim3,CHM13,50,96.3136,83.1318,1635,13.84,14.3766
strobealign-0.14.0,align,sim3,CHM13,75,99.1852,88.9224,1799,17.85,14.3756
strobealign-0.14.0,align,sim3,CHM13,100,99.5144,90.7257,1961,17.34,14.4051
strobealign-0.14.0,align,sim3,CHM13,150,99.7211,92.4103,2202,17.50,14.481
strobealign-0.14.0,align,sim3,CHM13,200,99.7426,93.2543,2491,18.85,14.5408
strobealign-0.14.0,align,sim3,CHM13,300,99.693,94.1242,3065,29.76,14.6419
strobealign-0.14.0,align,sim3,CHM13,500,99.582,95.1364,4178,47.15,11.2414
strobealign-0.14.0,align,sim4,CHM13,50,92.4598,78.4761,3109,13.43,14.3766
strobealign-0.14.0,align,sim4,CHM13,75,97.7539,86.684,3365,17.98,14.3786
strobealign-0.14.0,align,sim4,CHM13,100,98.3463,88.9494,3634,18.81,14.4167
strobealign-0.14.0,align,sim4,CHM13,150,99.0965,91.4378,4284,19.16,14.4606
strobealign-0.14.0,align,sim4,CHM13,200,99.3903,92.6523,4750,24.25,14.5382
strobealign-0.14.0,align,sim4,CHM13,300,99.416,93.6638,5818,38.52,14.6296
strobealign-0.14.0,align,sim4,CHM13,500,99.1864,94.5677,8135,76.96,11.2224
strobealign-0.14.0,align,sim5,CHM13,50,90.1021,76.3322,6329,13.82,14.3766
strobealign-0.14.0,align,sim5,CHM13,75,95.7346,84.6904,6738,17.68,14.3749
strobealign-0.14.0,align,sim5,CHM13,100,96.4928,86.9739,7209,18.53,14.4081
strobealign-0.14.0,align,sim5,CHM13,150,97.4265,89.7028,8287,21.41,14.4781
strobealign-0.14.0,align,sim5,CHM13,200,98.2076,91.3643,9339,27.99,14.5296
strobealign-0.14.0,align,sim5,CHM13,300,98.8331,93.0244,11205,50.10,14.6605
strobealign-0.14.0,align,sim5,CHM13,500,98.4823,93.7869,15170,116.67,11.2258
strobealign-mcs-022a721,align,sim3,CHM13,50,98.7966,85.2944,1635,19.90,14.4422
strobealign-mcs-022a721,align,sim3,CHM13,75,99.5804,89.3016,1799,22.75,14.3674
strobealign-mcs-022a721,align,sim3,CHM13,100,99.7993,90.9951,1961,18.80,14.4227
strobealign-mcs-022a721,align,sim3,CHM13,150,99.7793,92.4907,2202,19.96,14.4731
strobealign-mcs-022a721,align,sim3,CHM13,200,99.7501,93.2794,2491,22.57,14.5258
strobealign-mcs-022a721,align,sim3,CHM13,300,99.693,94.1627,3065,33.01,14.6481
strobealign-mcs-022a721,align,sim3,CHM13,500,99.582,95.164,4178,50.36,11.2164
