tool,type,dataset,genome,ends,read_length,aligned,accuracy,overaligned,time,memory
strobealign-mcs-022a721,align,sim3,maize,se,100,99.8044,70.9415,1878,12.76,9.79147
strobealign-mcs-022a721,align,sim3,maize,se,150,99.7755,81.3219,2195,16.67,9.82568
strobealign-mcs-022a721,align,sim3,maize,se,200,99.7575,86.8462,2389,20.71,9.87276
strobealign-mcs-022a721,align,sim3,maize,se,300,99.6878,92.0087,3115,30.47,10.0278
strobealign-mcs-022a721,align,sim3,maize,se,500,99.5689,95.5631,4307,44.36,8.33941
strobealign-mcs-022a721,align,sim4,maize,se,50,97.7773,47.5734,3148,15.02,9.76708
strobealign-mcs-022a721,align,sim4,maize,se,75,99.2788,60.3005,3380,15.27,9.78831
strobealign-mcs-022a721,align,sim4,maize,se,100,99.6287,68.9778,3622,14.59,9.79156
strobealign-mcs-022a721,align,sim4,maize,se,150,99.5809,79.52,4148,19.84,9.82461
strobealign-mcs-022a721,align,sim4,maize,se,200,99.505,85.3071,4934,26.31,9.88827
strobealign-mcs-022a721,align,sim4,maize,se,300,99.4075,90.8353,5920,41.40,10.0015
strobealign-mcs-022a721,align,sim4,maize,se,500,99.2044,94.6569,7955,70.42,8.33299
strobealign-mcs-022a721,align,sim5,maize,se,50,96.8282,46.2716,6175,15.18,9.76658
strobealign-mcs-022a721,align,sim5,maize,se,75,97.8353,58.7456,6641,15.44,9.79039
strobealign-mcs-022a721,align,sim5,maize,se,100,99.0258,67.3546,7257,15.34,9.79149
strobealign-mcs-022a721,align,sim5,maize,se,150,99.1254,77.9877,8206,21.39,9.82779
strobealign-mcs-022a721,align,sim5,maize,se,200,99.065,83.9268,9236,29.77,9.8907
strobealign-mcs-022a721,align,sim5,maize,se,300,98.8673,89.771,11322,52.52,10.0142
strobealign-mcs-022a721,align,sim5,maize,se,500,98.4447,93.5804,15553,109.55,8.35061
strobealign-mcs-feed434,align,sim3,maize,se,50,97.4344,48.7278,1561,12.55,9.80323
strobealign-mcs-feed434,align,sim3,maize,se,75,99.1723,61.9179,1770,13.14,9.80607
strobealign-mcs-feed434,align,sim3,maize,se,100,99.6171,70.5632,1878,12.85,9.81491
strobealign-mcs-feed434,align,sim3,maize,se,150,99.753,81.2303,2195,13.70,9.83989
strobealign-mcs-feed434,align,sim3,maize,se,200,99.7571,86.7378,2389,16.97,9.9011
strobealign-mcs-feed434,align,sim3,maize,se,300,99.6873,91.8042,3115,27.92,10.0141
strobealign-mcs-feed434,align,sim3,maize,se,500,99.5684,95.4117,4307,44.09,8.34284
strobealign-mcs-feed434,align,sim4,maize,se,50,96.2367,46.4271,3148,12.22,9.81346
strobealign-mcs-feed434,align,sim4,maize,se,75,98.7504,59.5715,3380,13.95,9.80893
strobealign-mcs-feed434,align,sim4,maize,se,100,99.2768,68.0869,3622,14.78,9.81704
strobealign-mcs-feed434,align,sim4,maize,se,150,99.4908,79.0936,4148,16.72,9.84254
strobealign-mcs-feed434,align,sim4,maize,se,200,99.4889,84.9998,4934,22.70,9.90601
strobealign-mcs-feed434,align,sim4,maize,se,300,99.407,90.5462,5920,37.64,10.0423
strobealign-mcs-feed434,align,sim4,maize,se,500,99.2043,94.4166,7955,69.98,8.3658
strobealign-mcs-feed434,align,sim5,maize,se,50,94.223,45.0773,6175,12.11,9.80339
strobealign-mcs-feed434,align,sim5,maize,se,75,97.0647,58.0663,6641,14.00,9.80805
strobealign-mcs-feed434,align,sim5,maize,se,100,98.0008,66.3946,7257,15.07,9.81486
strobealign-mcs-feed434,align,sim5,maize,se,150,98.5549,77.3877,8206,18.05,9.83857
strobealign-mcs-feed434,align,sim5,maize,se,200,98.8424,83.4535,9236,25.77,9.90701
strobealign-mcs-feed434,align,sim5,maize,se,300,98.8563,89.4947,11322,48.60,10.0499
strobealign-mcs-feed434,align,sim5,maize,se,500,98.4444,93.33,15553,106.94,8.38305
bwamem,align,sim3,maize,se,50,99.6124,50.797,1561,50.103,13.4167
bwamem,align,sim3,maize,se,75,99.7603,63.8201,1770,47.728,10.3023
bwamem,align,sim3,maize,se,100,99.8081,72.4989,1878,48.897,7.6519
bwamem,align,sim3,maize,se,150,99.7805,82.4973,2195,69.381,5.68848
bwamem,align,sim3,maize,se,200,99.7611,87.6817,2389,92.439,4.96266
bwamem,align,sim3,maize,se,300,99.6885,92.5609,3115,148.348,4.4357
bwamem,align,sim3,maize,se,500,99.5693,95.9732,4307,277.069,4.24534
bwamem,align,sim4,maize,se,50,98.5205,49.6154,3148,53.188,13.5159
bwamem,align,sim4,maize,se,75,99.3489,62.8248,3380,57.994,10.9076
bwamem,align,sim4,maize,se,100,99.5967,71.5074,3622,64.984,8.23483
bwamem,align,sim4,maize,se,150,99.585,81.6886,4148,97.929,6.11382
bwamem,align,sim4,maize,se,200,99.5066,87.0163,4934,133.866,5.26171
bwamem,align,sim4,maize,se,300,99.408,92.0306,5920,212.530,4.61541
bwamem,align,sim4,maize,se,500,99.2045,95.5088,7955,386.374,4.27153
bwamem,align,sim5,maize,se,50,95.932,48.0441,6175,52.461,13.3586
bwamem,align,sim5,maize,se,75,97.5522,61.1599,6641,58.290,10.9224
bwamem,align,sim5,maize,se,100,98.3521,69.8094,7257,65.875,8.33894
bwamem,align,sim5,maize,se,150,99.119,80.1978,8206,100.029,6.26124
bwamem,align,sim5,maize,se,200,99.0697,85.7072,9236,136.422,5.36557
bwamem,align,sim5,maize,se,300,98.8678,90.9797,11322,215.591,4.67229
bwamem,align,sim5,maize,se,500,98.4447,94.5559,15553,399.720,4.3042
minimap2,align,sim3,maize,se,50,88.585,45.561,1561,22.176,9.09516
minimap2,align,sim3,maize,se,75,97.2411,61.9235,1770,28.669,8.91311
minimap2,align,sim3,maize,se,100,98.7779,71.0801,1878,33.972,8.592
minimap2,align,sim3,maize,se,150,99.4576,81.4509,2195,43.313,8.34197
minimap2,align,sim3,maize,se,200,99.6171,86.8545,2389,54.568,8.15939
minimap2,align,sim3,maize,se,300,99.6479,92.0642,3115,85.830,7.96829
minimap2,align,sim3,maize,se,500,99.5642,95.7526,4307,166.256,7.81744
minimap2,align,sim4,maize,se,50,82.5915,41.0722,3148,21.512,8.96618
minimap2,align,sim4,maize,se,75,95.9955,59.5654,3380,27.096,8.85147
