tool,mode,dataset,genome,ends,read_length,read_count,aligned,overaligned,accuracy,jaccuracy,saccuracy,time,memory
bwamem,align,sim4,CHM13,pe,500,2000000,99.9498,1004,96.5031,96.17129,96.86195,561.449,5.74547
minimap2,align,sim4,CHM13,pe,50,2000000,92.3821,154,84.6355,84.34697,84.78115,25.782,11.8034
minimap2,align,sim4,CHM13,pe,75,2000000,98.5176,209,91.43985,90.9048,91.69585,31.789,11.7393
minimap2,align,sim4,CHM13,pe,100,2000000,99.523,269,93.0329,92.37354,93.3458,38.258,11.5986
minimap2,align,sim4,CHM13,pe,150,2000000,99.87295,334,94.19125,93.57391,94.5859,49.744,11.5058
minimap2,align,sim4,CHM13,pe,200,2000000,99.9376,467,94.51245,93.97684,94.9954,59.974,11.4925
minimap2,align,sim4,CHM13,pe,300,2000000,99.95855,617,95.5379,95.12709,96.11315,127.054,11.5926
minimap2,align,sim4,CHM13,pe,500,2000000,99.9493,1004,95.8069,95.50037,96.6659,345.786,11.6396
strobealign-caa3745f,map,sim4,CHM13,pe,50,2000000,98.8837,109,87.43775,71.90888,,7.8,14.4944
strobealign-caa3745f,map,sim4,CHM13,pe,75,2000000,99.57875,149,90.55845,76.65591,,6.6,14.5215
strobealign-caa3745f,map,sim4,CHM13,pe,100,2000000,99.8707,221,91.8724,80.18816,,6.1,14.5321
strobealign-caa3745f,map,sim4,CHM13,pe,150,2000000,99.9828,281,93.0886,84.5498,,6.6,14.6122
strobealign-caa3745f,map,sim4,CHM13,pe,200,2000000,99.97665,414,93.62415,86.43793,,7.2,14.7014
strobealign-caa3745f,map,sim4,CHM13,pe,300,2000000,99.96915,582,94.7909,89.33549,,10.8,14.7789
strobealign-caa3745f,map,sim4,CHM13,pe,500,2000000,99.9498,990,95.5544,91.06696,,11.8,11.4654
strobealign-caa3745f-mcsoff,map,sim4,CHM13,pe,50,2000000,92.0698,76,80.47785,64.64503,,5.8,14.484
strobealign-caa3745f-mcsoff,map,sim4,CHM13,pe,75,2000000,97.65865,130,88.3519,70.04965,,6.0,14.5224
strobealign-caa3745f-mcsoff,map,sim4,CHM13,pe,100,2000000,98.3581,207,90.1084,71.87288,,5.7,14.5283
strobealign-caa3745f-mcsoff,map,sim4,CHM13,pe,150,2000000,99.35465,264,92.20305,77.71371,,6.2,14.9431
strobealign-caa3745f-mcsoff,map,sim4,CHM13,pe,200,2000000,99.7803,396,93.2054,80.79204,,6.6,14.9253
strobealign-caa3745f-mcsoff,map,sim4,CHM13,pe,300,2000000,99.96495,570,94.6023,85.02769,,9.2,14.9783
strobealign-caa3745f-mcsoff,map,sim4,CHM13,pe,500,2000000,99.9498,981,95.39035,87.31578,,11.7,11.6909
minimap2,map,sim4,CHM13,pe,50,2000000,92.4228,72,83.8859,60.19969,,20.887,11.4511
minimap2,map,sim4,CHM13,pe,75,2000000,98.53405,134,90.7789,68.74079,,26.291,11.4207
minimap2,map,sim4,CHM13,pe,100,2000000,99.5277,213,92.452,73.78718,,32.497,11.3343
minimap2,map,sim4,CHM13,pe,150,2000000,99.87405,271,93.68575,79.04598,,42.043,11.3073
minimap2,map,sim4,CHM13,pe,200,2000000,99.93885,411,93.9748,73.88327,,48.459,11.286
minimap2,map,sim4,CHM13,pe,300,2000000,99.9589,576,94.95475,87.49892,,114.435,11.4054
minimap2,map,sim4,CHM13,pe,500,2000000,99.9493,988,94.99885,89.85473,,316.019,11.4759
strobealign-caa3745f,align,sim4,rye,pe,50,2000000,99.73485,151,69.53295,69.1822,95.27745,39.0,33.3787
strobealign-caa3745f,align,sim4,rye,pe,75,2000000,99.959,197,79.6286,79.11001,96.4825,33.2,33.3574
strobealign-caa3745f,align,sim4,rye,pe,100,2000000,99.9868,246,84.9266,84.3388,97.1473,30.8,33.3887
strobealign-caa3745f,align,sim4,rye,pe,150,2000000,99.98315,337,89.77075,89.20549,97.9529,34.2,33.4072
strobealign-caa3745f,align,sim4,rye,pe,200,2000000,99.9783,434,91.41515,90.9121,98.49145,40.2,33.4401
strobealign-caa3745f,align,sim4,rye,pe,300,2000000,99.97105,579,95.3527,94.94467,99.4771,56.4,33.4389
strobealign-caa3745f,align,sim4,rye,pe,500,2000000,99.95035,993,96.11045,95.80058,99.6715,86.7,25.3105
strobealign-caa3745f-mcsoff,align,sim4,rye,pe,50,2000000,99.29955,151,67.7925,67.46865,93.85695,36.6,33.3786
strobealign-caa3745f-mcsoff,align,sim4,rye,pe,75,2000000,99.91895,197,78.9175,78.41305,96.0135,35.5,33.3571
strobealign-caa3745f-mcsoff,align,sim4,rye,pe,100,2000000,99.9698,246,84.3547,83.77902,96.81975,33.1,33.3883
strobealign-caa3745f-mcsoff,align,sim4,rye,pe,150,2000000,99.9817,337,89.3663,88.80663,97.72195,33.9,33.4074
strobealign-caa3745f-mcsoff,align,sim4,rye,pe,200,2000000,99.9777,434,91.2517,90.75122,98.4391,39.1,33.4387
strobealign-caa3745f-mcsoff,align,sim4,rye,pe,300,2000000,99.97105,579,95.29145,94.88425,99.4453,52.7,33.4388
