tool,mode,dataset,genome,ends,read_length,read_count,aligned,overaligned,accuracy,jaccuracy,saccuracy,time,memory
strobealign-caa3745f-k16s12l2u2,map,sim0,CHM13,se,100,1000000,97.8503,0,90.7027,84.21042,,3.4,14.5909
strobealign-caa3745f-k16s12l2u2,map,sim0,CHM13,se,150,1000000,100.0,0,92.3629,87.04871,,5.6,14.591
strobealign-caa3745f-k16s12l2u2,map,sim0,CHM13,se,200,1000000,100.0,0,93.27,88.87295,,6.7,14.5912
strobealign-caa3745f-k16s12l2u2,map,sim0,CHM13,se,300,1000000,100.0,0,94.3153,91.00148,,10.1,14.591
strobealign-caa3745f-k16s12l2u2,map,sim0,CHM13,se,500,1000000,100.0,0,95.3916,93.09569,,16.4,14.7138
strobealign-caa3745f-k16s12l2u2,map,sim4,CHM13,se,50,1000000,99.8252,71,81.5802,68.5401,,2.6,14.5321
strobealign-caa3745f-k16s12l2u2,map,sim4,CHM13,se,75,1000000,99.8951,99,87.002,75.08879,,2.8,14.5318
strobealign-caa3745f-k16s12l2u2,map,sim4,CHM13,se,100,1000000,99.067,142,89.3643,78.90506,,3.1,14.5973
strobealign-caa3745f-k16s12l2u2,map,sim4,CHM13,se,150,1000000,99.9824,176,91.4422,82.87642,,4.5,14.5972
strobealign-caa3745f-k16s12l2u2,map,sim4,CHM13,se,200,1000000,99.9769,231,92.5431,85.35692,,6.0,14.5972
strobealign-caa3745f-k16s12l2u2,map,sim4,CHM13,se,300,1000000,99.9694,306,93.6875,88.24677,,8.7,14.603
strobealign-caa3745f-k16s12l2u2,map,sim4,CHM13,se,500,1000000,99.9521,479,94.9672,91.18563,,14.8,14.7494
strobealign-caa3745f-k16s12l2u2,map,sim6,CHM13,se,50,1000000,99.5566,72,49.9448,32.84947,,2.2,14.5315
strobealign-caa3745f-k16s12l2u2,map,sim6,CHM13,se,75,1000000,99.9461,89,66.3624,42.83865,,2.5,14.5317
strobealign-caa3745f-k16s12l2u2,map,sim6,CHM13,se,100,1000000,99.972,113,75.5293,50.86446,,3.0,14.5973
strobealign-caa3745f-k16s12l2u2,map,sim6,CHM13,se,150,1000000,99.9836,164,83.7327,60.70574,,4.3,14.5974
strobealign-caa3745f-k16s12l2u2,map,sim6,CHM13,se,200,1000000,99.9763,237,87.3672,66.89439,,5.1,14.6002
strobealign-caa3745f-k16s12l2u2,map,sim6,CHM13,se,300,1000000,99.9665,335,90.5093,74.21828,,7.0,14.5976
strobealign-caa3745f-k16s12l2u2,map,sim6,CHM13,se,500,1000000,99.9551,449,92.687,81.3976,,11.8,14.7374
minimap2,map,sim0,CHM13,se,50,1000000,95.5405,0,83.8509,66.7545,,18.488,11.3699
minimap2,map,sim0,CHM13,se,75,1000000,98.3958,0,88.5605,75.42266,,20.416,11.3458
minimap2,map,sim0,CHM13,se,100,1000000,99.1868,0,90.5516,79.72876,,22.735,11.2714
minimap2,map,sim0,CHM13,se,150,1000000,99.6773,0,92.3386,84.29065,,26.460,11.2589
minimap2,map,sim0,CHM13,se,200,1000000,99.8506,0,93.2013,86.77156,,29.443,11.2191
minimap2,map,sim0,CHM13,se,300,1000000,99.9535,0,94.2483,89.5636,,33.326,11.2845
minimap2,map,sim0,CHM13,se,500,1000000,99.9955,0,95.3855,92.25939,,40.616,11.4062
minimap2,map,sim4,CHM13,se,50,1000000,81.6361,26,69.7125,53.35462,,17.988,11.524
minimap2,map,sim4,CHM13,se,75,1000000,96.3642,56,84.9001,66.21734,,19.354,11.3826
minimap2,map,sim4,CHM13,se,100,1000000,98.9601,114,88.8404,72.1452,,20.703,11.2783
minimap2,map,sim4,CHM13,se,150,1000000,99.7831,147,91.5212,78.54202,,22.597,11.2614
minimap2,map,sim4,CHM13,se,200,1000000,99.9136,199,92.6192,82.11604,,23.945,11.216
minimap2,map,sim4,CHM13,se,300,1000000,99.9587,283,93.7358,86.08245,,25.956,11.2755
minimap2,map,sim4,CHM13,se,500,1000000,99.9517,469,94.9534,89.84362,,31.905,11.2632
minimap2,map,sim6,CHM13,se,50,1000000,29.8692,10,21.6317,14.67725,,15.898,11.4311
minimap2,map,sim6,CHM13,se,75,1000000,53.528,25,40.8837,24.00964,,16.414,11.2876
minimap2,map,sim6,CHM13,se,100,1000000,69.8202,52,55.4507,31.70001,,17.027,11.2413
minimap2,map,sim6,CHM13,se,150,1000000,87.5301,111,73.2308,43.73647,,17.651,11.2671
minimap2,map,sim6,CHM13,se,200,1000000,94.9931,197,82.2072,52.50816,,18.286,11.2212
minimap2,map,sim6,CHM13,se,300,1000000,99.1998,314,89.2417,63.9974,,19.666,11.1917
minimap2,map,sim6,CHM13,se,500,1000000,99.9328,431,92.5043,74.57234,,22.828,11.1343
strobealign-caa3745f-mcsoff,align,sim0,CHM13,pe,50,2000000,99.8863,0,91.88355,91.86876,98.97825,10.5,14.4997
strobealign-caa3745f-mcsoff,align,sim0,CHM13,pe,75,2000000,99.9571,0,93.0279,93.01841,99.19075,9.9,14.4939
strobealign-caa3745f-mcsoff,align,sim0,CHM13,pe,100,2000000,99.981,0,93.73205,93.7253,99.34915,9.8,14.5085
strobealign-caa3745f-mcsoff,align,sim0,CHM13,pe,150,2000000,99.9987,0,94.63375,94.63028,99.50555,11.0,14.5985
strobealign-caa3745f-mcsoff,align,sim0,CHM13,pe,200,2000000,100.0,0,95.22635,95.22389,99.64215,12.9,14.6336
strobealign-caa3745f-mcsoff,align,sim0,CHM13,pe,300,2000000,100.0,0,96.0711,96.07028,99.74595,18.3,14.6289
