tool,type,dataset,genome,ends,read_length,aligned,accuracy,overaligned,time,memory
strobealign-0.14.0,align,sim5,maize,se,200,98.4484,83.2078,9236,60.29,9.87082
strobealign-0.14.0,align,sim5,maize,se,300,98.8337,89.4927,11322,111.31,9.9681
strobealign-0.14.0,align,sim5,maize,se,500,98.4439,93.3375,15553,224.83,8.33333
strobealign-mcs-022a721,align,sim3,maize,se,50,97.8307,49.3253,1561,37.39,9.76466
strobealign-mcs-022a721,align,sim3,maize,se,75,99.5736,62.1955,1770,38.43,9.78496
strobealign-mcs-022a721,align,sim3,maize,se,100,99.8044,70.9415,1878,33.53,9.78886
strobealign-mcs-022a721,align,sim3,maize,se,150,99.7755,81.3194,2195,42.48,9.80455
strobealign-mcs-022a721,align,sim3,maize,se,200,99.7575,86.8462,2389,51.58,9.85926
strobealign-mcs-022a721,align,sim3,maize,se,300,99.6878,92.0087,3115,74.32,9.979
strobealign-mcs-022a721,align,sim3,maize,se,500,99.5689,95.5631,4307,98.84,8.35656
strobealign-mcs-022a721,align,sim4,maize,se,50,97.7773,47.5734,3148,36.79,9.76461
strobealign-mcs-022a721,align,sim4,maize,se,75,99.2788,60.3005,3380,39.74,9.78474
strobealign-mcs-022a721,align,sim4,maize,se,100,99.6287,68.9778,3622,38.21,9.78874
strobealign-mcs-022a721,align,sim4,maize,se,150,99.5809,79.52,4148,50.26,9.80475
strobealign-mcs-022a721,align,sim4,maize,se,200,99.505,85.3071,4934,63.54,9.88039
strobealign-mcs-022a721,align,sim4,maize,se,300,99.4075,90.8353,5920,94.88,9.97299
strobealign-mcs-022a721,align,sim4,maize,se,500,99.2044,94.6569,7955,151.51,8.34084
strobealign-mcs-022a721,align,sim5,maize,se,50,96.8282,46.2716,6175,37.86,9.76461
strobealign-mcs-022a721,align,sim5,maize,se,75,97.8353,58.7456,6641,39.47,9.78474
strobealign-mcs-022a721,align,sim5,maize,se,100,99.0258,67.3546,7257,39.29,9.78891
strobealign-mcs-022a721,align,sim5,maize,se,150,99.1254,77.9877,8206,53.66,9.80466
strobealign-mcs-022a721,align,sim5,maize,se,200,99.065,83.9268,9236,70.80,9.86929
strobealign-mcs-022a721,align,sim5,maize,se,300,98.8673,89.771,11322,117.99,9.97242
strobealign-mcs-022a721,align,sim5,maize,se,500,98.4447,93.5804,15553,224.98,8.34267
bwamem,align,sim3,maize,se,50,99.6124,50.797,1561,98.497,13.416
bwamem,align,sim3,maize,se,75,99.7603,63.8201,1770,95.954,10.3014
bwamem,align,sim3,maize,se,100,99.8081,72.4989,1878,102.164,7.64948
bwamem,align,sim3,maize,se,150,99.7805,82.4973,2195,140.286,5.68969
bwamem,align,sim3,maize,se,200,99.7611,87.6817,2389,185.208,4.95617
bwamem,align,sim3,maize,se,300,99.6885,92.5609,3115,293.143,4.43011
bwamem,align,sim3,maize,se,500,99.5693,95.9732,4307,541.996,4.22894
bwamem,align,sim4,maize,se,50,98.5205,49.6154,3148,104.476,13.5149
bwamem,align,sim4,maize,se,75,99.3489,62.8248,3380,115.859,10.9077
bwamem,align,sim4,maize,se,100,99.5967,71.5074,3622,132.082,8.23613
bwamem,align,sim4,maize,se,150,99.585,81.6886,4148,195.011,6.11406
bwamem,align,sim4,maize,se,200,99.5066,87.0163,4934,265.834,5.26159
bwamem,align,sim4,maize,se,300,99.408,92.0306,5920,415.356,4.61117
bwamem,align,sim4,maize,se,500,99.2045,95.5088,7955,757.651,4.25398
bwamem,align,sim5,maize,se,50,95.932,48.0441,6175,104.317,13.3553
bwamem,align,sim5,maize,se,75,97.5522,61.1599,6641,116.068,10.9207
bwamem,align,sim5,maize,se,100,98.3521,69.8094,7257,134.270,8.34197
bwamem,align,sim5,maize,se,150,99.119,80.1978,8206,200.117,6.26157
bwamem,align,sim5,maize,se,200,99.0697,85.7072,9236,270.305,5.36256
bwamem,align,sim5,maize,se,300,98.8678,90.9797,11322,421.982,4.66729
bwamem,align,sim5,maize,se,500,98.4447,94.5559,15553,778.955,4.28898
minimap2,align,sim3,maize,se,50,88.585,45.561,1561,48.034,9.07917
minimap2,align,sim3,maize,se,75,97.2411,61.9235,1770,64.725,8.89816
minimap2,align,sim3,maize,se,100,98.7779,71.0801,1878,77.529,8.54531
minimap2,align,sim3,maize,se,150,99.4576,81.4509,2195,99.719,8.31767
minimap2,align,sim3,maize,se,200,99.6171,86.8545,2389,126.444,8.1369
minimap2,align,sim3,maize,se,300,99.6479,92.0642,3115,200.319,7.95932
minimap2,align,sim3,maize,se,500,99.5642,95.7526,4307,391.701,7.79591
minimap2,align,sim4,maize,se,50,82.5915,41.0722,3148,44.210,8.95378
minimap2,align,sim4,maize,se,75,95.9955,59.5654,3380,62.664,8.83739
minimap2,align,sim4,maize,se,100,98.4724,69.4438,3622,74.987,8.55457
minimap2,align,sim4,maize,se,150,99.3451,80.3013,4148,96.910,8.31152
minimap2,align,sim4,maize,se,200,99.4233,85.8874,4934,122.972,8.1409
minimap2,align,sim4,maize,se,300,99.3933,91.3508,5920,194.549,7.95355
minimap2,align,sim4,maize,se,500,99.2027,95.193,7955,382.251,7.79186
minimap2,align,sim5,maize,se,50,80.0567,39.6913,6175,45.387,8.90867
minimap2,align,sim5,maize,se,75,93.8454,57.7856,6641,60.066,8.80546
minimap2,align,sim5,maize,se,100,96.8175,67.6102,7257,74.586,8.52526
minimap2,align,sim5,maize,se,150,98.6352,78.7195,8206,96.673,8.30938
minimap2,align,sim5,maize,se,200,98.9494,84.6614,9236,123.115,8.13733
minimap2,align,sim5,maize,se,300,98.8462,90.2837,11322,195.503,7.95624
minimap2,align,sim5,maize,se,500,98.443,93.8576,15553,384.657,7.79364
strobealign-0.14.0,map,sim3,maize,se,50,96.4244,43.7613,269,23.95,9.78289
strobealign-0.14.0,map,sim3,maize,se,75,99.0195,56.6996,437,24.01,9.78912
strobealign-0.14.0,map,sim3,maize,se,100,99.516,65.1445,616,22.32,9.79736
strobealign-0.14.0,map,sim3,maize,se,150,99.7324,77.1221,972,21.76,9.80439
strobealign-0.14.0,map,sim3,maize,se,200,99.753,83.4503,1310,25.35,9.80566
strobealign-0.14.0,map,sim3,maize,se,300,99.6873,89.1819,2135,39.31,9.87725
strobealign-0.14.0,map,sim3,maize,se,500,99.5686,93.1743,3651,46.01,8.18067
strobealign-0.14.0,map,sim4,maize,se,50,93.8463,40.3554,429,21.18,9.78284
strobealign-0.14.0,map,sim4,maize,se,75,98.099,52.6961,883,22.90,9.78904
strobealign-0.14.0,map,sim4,maize,se,100,98.7384,60.512,1208,20.49,9.79733
strobealign-0.14.0,map,sim4,maize,se,150,99.2869,72.8637,1743,20.26,9.80442
strobealign-0.14.0,map,sim4,maize,se,200,99.4261,79.6312,2536,21.93,9.80573
strobealign-0.14.0,map,sim4,maize,se,300,99.4057,86.1282,4061,33.82,9.87611
strobealign-0.14.0,map,sim4,maize,se,500,99.2043,90.553,6774,38.74,8.18098
strobealign-0.14.0,map,sim5,maize,se,50,91.5472,39.1068,833,21.17,9.78297
strobealign-0.14.0,map,sim5,maize,se,75,96.1785,51.1771,1586,22.69,9.78904
strobealign-0.14.0,map,sim5,maize,se,100,97.0344,58.7319,2203,20.78,9.79736
strobealign-0.14.0,map,sim5,maize,se,150,97.7801,70.8091,3390,19.88,9.80439
strobealign-0.14.0,map,sim5,maize,se,200,98.4484,77.6617,4562,20.87,9.80585
strobealign-0.14.0,map,sim5,maize,se,300,98.8337,84.6116,7715,31.72,9.87691
strobealign-0.14.0,map,sim5,maize,se,500,98.4439,89.1274,13120,36.20,8.17862
strobealign-mcs-022a721,map,sim3,maize,se,50,97.8307,44.6644,945,30.98,9.76466
strobealign-mcs-022a721,map,sim3,maize,se,75,99.5736,56.9262,529,29.25,9.78474
strobealign-mcs-022a721,map,sim3,maize,se,100,99.8044,65.9238,1243,23.97,9.78873
strobealign-mcs-022a721,map,sim3,maize,se,150,99.7755,77.2651,1161,31.52,9.80471
strobealign-mcs-022a721,map,sim3,maize,se,200,99.7575,83.6602,1461,34.80,9.80348
strobealign-mcs-022a721,map,sim3,maize,se,300,99.6878,89.7671,2298,50.45,9.87762
strobealign-mcs-022a721,map,sim3,maize,se,500,99.5689,93.8291,3815,54.57,8.17924
strobealign-mcs-022a721,map,sim4,maize,se,50,97.7773,41.9941,1934,29.11,9.76453
strobealign-mcs-022a721,map,sim4,maize,se,75,99.2788,53.4427,1070,27.74,9.78477
strobealign-mcs-022a721,map,sim4,maize,se,100,99.6287,62.3152,2388,22.96,9.78887
strobealign-mcs-022a721,map,sim4,maize,se,150,99.5809,73.4569,2116,29.67,9.80476
strobealign-mcs-022a721,map,sim4,maize,se,200,99.505,80.1311,2936,32.68,9.8037
strobealign-mcs-022a721,map,sim4,maize,se,300,99.4075,86.9011,4386,45.24,9.87469
strobealign-mcs-022a721,map,sim4,maize,se,500,99.2044,91.4333,7073,49.12,8.18083
strobealign-mcs-022a721,map,sim5,maize,se,50,96.8282,40.7945,3853,28.34,9.76465
strobealign-mcs-022a721,map,sim5,maize,se,75,97.8353,52.0495,1931,26.64,9.78494
strobealign-mcs-022a721,map,sim5,maize,se,100,99.0258,60.6666,4582,22.20,9.78875
strobealign-mcs-022a721,map,sim5,maize,se,150,99.1254,71.7505,4133,28.74,9.80473
strobealign-mcs-022a721,map,sim5,maize,se,200,99.065,78.4474,5381,32.31,9.80351
strobealign-mcs-022a721,map,sim5,maize,se,300,98.8673,85.4173,8377,44.38,9.87904
strobealign-mcs-022a721,map,sim5,maize,se,500,98.4447,89.873,13782,48.91,8.18087
minimap2,map,sim3,maize,se,50,88.5855,40.4603,162,37.919,8.23657
minimap2,map,sim3,maize,se,75,97.2411,56.3248,397,47.471,8.13461
minimap2,map,sim3,maize,se,100,98.7781,65.8736,606,54.180,7.93991
minimap2,map,sim3,maize,se,150,99.4576,77.2688,1068,65.727,7.78538
minimap2,map,sim3,maize,se,200,99.6171,83.5804,1417,80.394,7.6784
minimap2,map,sim3,maize,se,300,99.6479,89.9199,2264,121.716,7.60632
minimap2,map,sim3,maize,se,500,99.5642,94.6181,3799,212.887,7.54904
minimap2,map,sim4,maize,se,50,82.594,36.2881,267,34.683,8.17844
minimap2,map,sim4,maize,se,75,95.9958,53.1697,782,44.896,8.10492
minimap2,map,sim4,maize,se,100,98.4727,63.1438,1212,47.564,7.93472
minimap2,map,sim4,maize,se,150,99.3451,75.0754,1928,60.666,7.77278
minimap2,map,sim4,maize,se,200,99.4233,81.6845,2831,73.616,7.67559
minimap2,map,sim4,maize,se,300,99.3933,88.5704,4330,109.158,7.59593
minimap2,map,sim4,maize,se,500,99.2027,93.707,7052,190.142,7.52805
minimap2,map,sim5,maize,se,50,80.061,35.0725,538,35.602,8.15535
minimap2,map,sim5,maize,se,75,93.8465,51.657,1405,43.114,8.08976
minimap2,map,sim5,maize,se,100,96.8192,61.6223,2188,48.044,7.92248
minimap2,map,sim5,maize,se,150,98.6365,73.7054,3781,59.476,7.77353
minimap2,map,sim5,maize,se,200,98.9497,80.6163,5133,71.772,7.6783
minimap2,map,sim5,maize,se,300,98.8462,87.6746,8233,105.718,7.59559
minimap2,map,sim5,maize,se,500,98.443,92.7503,13726,183.586,7.52509
strobealign-0.14.0,align,sim3,CHM13,se,50,96.3136,83.1318,1635,13.22,14.3766
strobealign-0.14.0,align,sim3,CHM13,se,75,99.1852,88.9224,1799,17.25,14.3727
strobealign-0.14.0,align,sim3,CHM13,se,100,99.5144,90.7257,1961,16.87,14.4059
strobealign-0.14.0,align,sim3,CHM13,se,150,99.7211,92.4103,2202,16.13,14.4716
strobealign-0.14.0,align,sim3,CHM13,se,200,99.7426,93.2543,2491,17.37,14.5241
strobealign-0.14.0,align,sim3,CHM13,se,300,99.693,94.1242,3065,29.98,14.643
strobealign-0.14.0,align,sim3,CHM13,se,500,99.582,95.1364,4178,47.84,11.2386
strobealign-0.14.0,align,sim4,CHM13,se,50,92.4598,78.4761,3109,13.38,14.3766
strobealign-0.14.0,align,sim4,CHM13,se,75,97.7539,86.684,3365,18.68,14.3786
strobealign-0.14.0,align,sim4,CHM13,se,100,98.3463,88.9494,3634,18.77,14.4093
strobealign-0.14.0,align,sim4,CHM13,se,150,99.0965,91.4378,4284,18.33,14.4654
strobealign-0.14.0,align,sim4,CHM13,se,200,99.3903,92.6523,4750,23.84,14.5287
strobealign-0.14.0,align,sim4,CHM13,se,300,99.416,93.6638,5818,39.75,14.6451
strobealign-0.14.0,align,sim4,CHM13,se,500,99.1864,94.5677,8135,76.45,11.2163
