tool,type,dataset,genome,read_length,aligned,accuracy,overaligned,time,memory
strobealign-mcs-022a721,map,sim3,maize,100,99.8035,81.6426,2487,68.63,9.83018
strobealign-mcs-022a721,map,sim3,maize,150,99.77665,88.5104,2308,70.52,9.92319
strobealign-mcs-022a721,map,sim3,maize,200,99.7599,90.87155,2859,74.56,10.0135
strobealign-mcs-022a721,map,sim3,maize,300,99.68795,95.4657,4579,98.10,10.1946
strobealign-mcs-022a721,map,sim3,maize,500,99.57385,96.6296,7616,107.21,8.48929
strobealign-mcs-022a721,map,sim4,maize,50,97.77435,60.9855,3923,144.50,9.78194
strobealign-mcs-022a721,map,sim4,maize,75,99.27155,71.93665,2146,101.02,9.81312
strobealign-mcs-022a721,map,sim4,maize,100,99.6274,78.3355,4752,65.67,9.84172
strobealign-mcs-022a721,map,sim4,maize,150,99.58085,85.9394,4222,67.39,9.92023
strobealign-mcs-022a721,map,sim4,maize,200,99.5062,88.6563,5839,69.35,10.0089
strobealign-mcs-022a721,map,sim4,maize,300,99.4095,94.1124,8773,95.36,10.1926
strobealign-mcs-022a721,map,sim4,maize,500,99.2012,95.3366,14216,97.70,8.66402
strobealign-mcs-022a721,map,sim5,maize,50,96.83045,59.0727,7672,140.77,9.78192
strobealign-mcs-022a721,map,sim5,maize,75,97.8315,69.98845,3894,99.36,9.80197
strobealign-mcs-022a721,map,sim5,maize,100,99.02555,76.53575,9224,65.23,9.82833
strobealign-mcs-022a721,map,sim5,maize,150,99.13285,84.48905,8129,67.45,9.92292
strobealign-mcs-022a721,map,sim5,maize,200,99.06235,87.37005,10843,70.41,10.0099
strobealign-mcs-022a721,map,sim5,maize,300,98.8773,93.13275,16445,89.69,10.1931
strobealign-mcs-022a721,map,sim5,maize,500,98.44805,94.20875,27560,95.58,8.66231
minimap2,map,sim3,maize,50,94.87675,64.39915,431,68.171,8.34891
minimap2,map,sim3,maize,75,98.4132,77.5072,887,97.074,8.10027
minimap2,map,sim3,maize,100,99.17435,83.94495,1310,110.115,7.89974
minimap2,map,sim3,maize,150,99.557,89.68745,2174,148.678,7.74401
minimap2,map,sim3,maize,200,99.66045,91.1636,2803,193.311,7.6617
minimap2,map,sim3,maize,300,99.65405,94.11445,4543,466.500,7.6348
minimap2,map,sim3,maize,500,99.56885,94.7373,7588,1817.485,7.782
minimap2,map,sim4,maize,50,92.28785,59.85805,749,62.464,8.31044
minimap2,map,sim4,maize,75,98.06195,74.8278,1779,94.313,8.0976
minimap2,map,sim4,maize,100,99.07475,81.92695,2529,96.985,7.90818
minimap2,map,sim4,maize,150,99.4451,88.4301,3966,135.861,7.73202
minimap2,map,sim4,maize,200,99.45545,90.01895,5737,171.660,7.65951
minimap2,map,sim4,maize,300,99.39615,92.94405,8724,444.336,7.64394
minimap2,map,sim4,maize,500,99.19965,93.77565,14167,1600.393,7.74913
minimap2,map,sim5,maize,50,89.8438,57.6706,1404,65.597,8.28623
minimap2,map,sim5,maize,75,96.30845,72.7755,3181,94.610,8.09839
minimap2,map,sim5,maize,100,97.88795,80.38625,4648,97.569,7.90147
minimap2,map,sim5,maize,150,98.94995,87.4622,7666,133.662,7.73177
minimap2,map,sim5,maize,200,99.0065,89.1672,10575,168.702,7.66159
minimap2,map,sim5,maize,300,98.861,91.9793,16305,437.733,7.61017
minimap2,map,sim5,maize,500,98.44655,92.37845,27455,1540.368,7.86779
strobealign-0.14.0,align,sim3,CHM13,50,99.5534,90.90695,3322,45.51,14.481
strobealign-0.14.0,align,sim3,CHM13,75,99.80105,92.51855,3583,48.61,14.5267
strobealign-0.14.0,align,sim3,CHM13,100,99.80085,93.2939,3914,45.08,14.588
strobealign-0.14.0,align,sim3,CHM13,150,99.7803,94.15825,4390,43.24,14.7124
strobealign-0.14.0,align,sim3,CHM13,200,99.7488,94.46705,5018,42.92,14.7986
strobealign-0.14.0,align,sim3,CHM13,300,99.68855,95.62545,6229,63.32,14.9662
strobealign-0.14.0,align,sim3,CHM13,500,99.5794,96.0549,8412,97.91,11.6602
strobealign-0.14.0,align,sim4,CHM13,50,98.7492,89.4386,6259,44.11,14.4849
strobealign-0.14.0,align,sim4,CHM13,75,99.5777,91.9655,6712,49.15,14.5207
strobealign-0.14.0,align,sim4,CHM13,100,99.6135,92.81145,7209,47.03,14.5791
strobealign-0.14.0,align,sim4,CHM13,150,99.5697,93.73135,8535,45.32,14.7139
strobealign-0.14.0,align,sim4,CHM13,200,99.5229,94.0487,9526,51.29,14.715
strobealign-0.14.0,align,sim4,CHM13,300,99.4215,95.2349,11570,83.39,14.9218
strobealign-0.14.0,align,sim4,CHM13,500,99.1899,95.51955,16202,148.46,11.6064
strobealign-0.14.0,align,sim5,CHM13,50,96.926,87.54355,12597,42.97,14.471
strobealign-0.14.0,align,sim5,CHM13,75,98.4339,90.7016,13461,48.81,14.5217
strobealign-0.14.0,align,sim5,CHM13,100,98.93805,91.97415,14383,47.45,14.5807
strobealign-0.14.0,align,sim5,CHM13,150,99.12625,93.1808,16562,49.05,14.6984
strobealign-0.14.0,align,sim5,CHM13,200,99.0449,93.4904,18688,56.47,14.7986
strobealign-0.14.0,align,sim5,CHM13,300,98.8705,94.6088,22586,103.65,14.9312
strobealign-0.14.0,align,sim5,CHM13,500,98.4742,94.71255,30516,231.47,11.6641
strobealign-mcs-022a721,align,sim3,CHM13,50,99.7278,91.1275,3322,57.53,14.5158
strobealign-mcs-022a721,align,sim3,CHM13,75,99.80715,92.557,3583,58.71,14.5131
strobealign-mcs-022a721,align,sim3,CHM13,100,99.8033,93.2753,3914,46.51,14.5927
strobealign-mcs-022a721,align,sim3,CHM13,150,99.78005,94.13895,4390,46.94,14.7165
strobealign-mcs-022a721,align,sim3,CHM13,200,99.7489,94.45075,5018,50.92,14.8072
strobealign-mcs-022a721,align,sim3,CHM13,300,99.68855,95.63575,6229,73.48,14.9108
